---
Version: 1.1.7
Provider: docker
Metadata:
  Created: "2020-04-12T00:15:19Z"
  Command: "bash -c 'while true; do sleep 2s; done'"
  Id: d69fefaa9ee25c23f5c9ed5b4431b221d147575982352cedff0925a275e1827e
  Image: ubuntu
  Labels: {}
  Names:
    - /cocky_hugle
  Ports: []
  Status: Up 21 minutes
  SizeRw: ~
  SizeRootFs: ~
System:
  OsType: Linux
  OsRelease: 4.15.0-88-generic
  Distribution:
    Id: ubuntu
    IdLike: debian
    Name: Ubuntu
    PrettyName: Ubuntu 18.04.1 LTS
    Version: 18.04.1 LTS (Bionic Beaver)
    VersionId: "18.04"
    VersionCodename: bionic
    CpeName: ~
    BuildId: ~
    Variant: ~
    VariantId: ~
  MemoryTotal: 264061528
  SwapTotal: 3145724
  Hostname: node1.radvisor-direct.infosphere-pg0.clemson.cloudlab.us
  CpuCount: 40
  CpuOnlineCount: 4
  CpuSpeed: 2199
Cgroup: system.slice/docker-d69fefaa9ee25c23f5c9ed5b4431b221d147575982352cedff0925a275e1827e.scope
CgroupDriver: systemd
InitializedAt: 1586651816493061473
---
read,pids.current,pids.max,cpu.usage.total,cpu.usage.system,cpu.usage.user,cpu.usage.percpu,cpu.stat.user,cpu.stat.system,cpu.throttling.periods,cpu.throttling.throttled.count,cpu.throttling.throttled.time,memory.usage.current,memory.usage.max,memory.limit.hard,memory.limit.soft,memory.failcnt,memory.hierarchical_limit.memory,memory.hierarchical_limit.memoryswap,memory.cache,memory.rss.all,memory.rss.huge,memory.mapped,memory.swap,memory.paged.in,memory.paged.out,memory.fault.total,memory.fault.major,memory.anon.inactive,memory.anon.active,memory.file.inactive,memory.file.active,memory.unevictable,blkio.service.bytes,blkio.service.ios,blkio.service.time,blkio.queued,blkio.wait,blkio.merged,blkio.time,blkio.sectors
1586651816493417355,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816542723194,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816592780860,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816642841526,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816692899316,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816742957949,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816793013879,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816843074900,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816893121697,2,6143,797880216,0,797880216,48592159 347092333 350148010 52047714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2314240,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26776,26687,61243,0,0,364544,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816943227196,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651816993298844,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817043359447,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817093401807,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817143475574,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817193551111,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817243626780,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817293700299,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817343772512,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817393846478,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2519040,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817443902652,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817493972431,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817544026242,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817594084063,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817644146630,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817694196270,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817744291862,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817794365428,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817844440885,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817894515533,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817944549618,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
1586651817994623411,2,6143,798732470,0,798732470,48592159 347092333 350357616 52690362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,37,38,0,0,0,2408448,7000064,9223372036854771712,9223372036854771712,0,9223372036854771712,,0,364544,0,0,,26815,26726,61334,0,0,307200,0,0,0,Total 0,Total 0,Total 0,Total 0,Total 0,Total 0,,
